word,hanja,pronunciation,english_translations,korean_definitions,part_of_speech,frequency
나,,,I; na; -na; -na mana,"말하는 사람이 친구나 아랫사람에게 자기를 가리키는 말. 만족스럽지는 않지만 선택함을 나타내는 조사. 사실은 그렇지 않지만 그런 것처럼 행동함을 나타내는 조사. 수량이 예상되는 정도를 넘거나 꽤 크거나 많음을 강조하는 조사. 수량이나 정도를 대강 짐작할 때 쓰는 조사. 많지는 않으나 어느 정도는 됨을 나타내는 조사. 여러 가지 중에서 모두를 포함함을 나타내는 조사. 말하는 사람이 인용되는 내용에 별 관심이 없거나 가벼운 의문을 나타낼 때 쓰는 조사. 둘 이상의 사물을 같은 자격으로 이어 주거나 그중에 하나만이 선택됨을 나타내는 조사. 어떤 대상이 최선의 자격 또는 조건이 됨을 나타내는 조사. (나고, 나는데, 나, 나서, 나니, 나면, 난, 나는, 날, 납니다, 났다, 나라)→ 나다1, 나다2 (나은데, 나아, 나아서, 나으니, 나으면, 나은, 나을, 나았다)→ 낫다2 (나는데, 나니, 난, 나는, 날, 납니다)→ 날다 (나아, 나아서, 나으니, 나으면, 나은, 나을, 나았다, 나아라)→ 낫다1 앞에 오는 말과 뒤에 오는 말의 내용이 서로 다름을 나타내는 연결 어미. 여러 가지 중에서 어느 것을 선택해도 상관이 없음을 나타내는 연결 어미. 앞말이 나타내는 상태를 강조할 때 쓰는 연결 어미. (예사 낮춤으로) 물음을 나타내는 종결 어미. (두루낮춤으로) 물음이나 추측을 나타내는 종결 어미. 그렇게 하나 그렇게 하지 않으나 다름이 없는 상황임을 나타내는 표현. (나타나고, 나타나는데, 나타나, 나타나서, 나타나니, 나타나면, 나타난, 나타나는, 나타날, 나타납니다, 나타났다, 나타나라)→ 나타나다",품사 없음,1
없다,,쓸떼업따,non-existent; lacking; not materializing; few; little; poor; impossible; unable; being not; rare; not having; there being no; lacking; disrespectful; ill-tasting; unsavory; not interesting; getting someone in trouble; irrelevant; okay; alright; incessant; unceasing; ceaseless; endless; infinite; not different; having no relation; having no issue; useless; fruitless; futile; needless; useless,"사람이나 사물 등이 실제로 존재하지 않는 상태이다. 어떤 사실이나 현상이 현실로 존재하지 않는 상태이다. 어떤 일이나 증상 등이 나타나지 않은 상태이다. 어떤 것이 많지 않은 상태이다. 돈이나 재산 등이 넉넉하지 못하여 가난하다. 어떤 일이 가능하지 않다. 사람, 사물, 현상 등이 어떤 곳에 자리나 공간을 차지하고 존재하지 않는 상태이다. 사람이나 동물이 어느 곳에 머무르거나 살지 않는 상태이다. 매우 드물다. 일정한 범위에 포함되지 않는 상태이다. 어떤 물건을 가지고 있지 않거나 자격이나 능력 등을 갖추지 않은 상태이다. 일정한 관계를 가지는 사람이 존재하지 않는 상태이다. 어떤 사람에게 아무 일도 생기지 않은 상태이다. 이유나 가능성 등으로 성립될 수 없는 상태이다. 위와 아래, 왼쪽과 오른쪽, 지위 등이 구별될 수 없는 상태이다. 음식의 맛이 좋지 않다. 즐겁고 유쾌한 느낌이 없다. 좋지 않거나 해로운 일이 생기다. 서로 아무런 관련이 없다. 괜찮다. 문제가 될 것이 없다. 계속하거나 이어져 있던 것이 끊이지 아니하다. 끝이 없거나 제한이 없다. 서로 같거나 비슷하다. 서로 관련이 없다. 특별히 문제되거나 걱정할 일이 없이 괜찮다. 아무런 이익이나 쓸모가 없다.",형용사,9
사람,,밷싸람/배싸람,human; man; person; native; talent; reponsible member; personality; dude; other; other person; prominent figure; people; person; personality; character; snowman; younger; junior; one's senior; one's superior; wife; person behind; person coming later; posterity; next generation; successor; replacement; different person; many people; public; sailor; seaman,"생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재. 어떤 지역이나 집안, 조직에 속한 자. 일정한 자격이나 인격을 갖춘 존재. 성질이나 인격. 친근한 상대편을 가리키거나 부를 때 사용하는 말. 특별히 정해지지 않은 자기 외의 남을 가리키는 말. 뛰어난 인물. 일을 할 일꾼이나 인원. 사람의 수를 세는 단위. 사람이 지닌 마음씨나 성품. 눈을 뭉쳐서 사람 모양으로 만든 것. 나이나 항렬이 자기보다 낮은 사람. 계급, 지위, 신분 등이 자기보다 낮은 사람. 가족 관계에서 자신보다 나이나 위치가 많거나 위인 사람. 사회\생활에서 자신보다 위치가 위인 사람. (겸손하게 이르는 말로) 자기 아내. 뒤에 있는 사람. 또는 나중에 온 사람. 다음 세대의 사람. 다음에 일을 맡아보는 사람. 모습이나 행동 등이 알아보지 못할 만큼 이전과 달라진 사람. 많은 사람. 여러 사람. 배를 조종하거나 배에서 일을 하는 사람.",명사,10
우리,,둥우리,we; uri; pen; hutch; barn; our country; our language; soak; infuse; extort; wring; peak; summit; pigsty; chicken nest; nest,"말하는 사람이 자기와 듣는 사람 또는 이를 포함한 여러 사람들을 가리키는 말. 말하는 사람이 자기보다 높지 않은 사람에게 자기를 포함한 여러 사람들을 가리키는 말. 말하는 사람이 자기보다 높지 않은 사람에게 자기와 관련된 것을 친근하게 나타낼 때 쓰는 말. 짐승을 가두어 기르는 곳. 한국 사람이 한국을 스스로 이르는 말. 한국 사람들이 사용하는 글자인 한글. 어떤 물체를 액체에 담가 그 물체의 맛이나 빛깔 등이 액체 속으로 빠져나오게 하다. 남을 속이거나 위협하여 돈이나 물품 등을 빼앗다. 한국 사람들이 사용하는 한국말. 산에서 가장 높이 솟은 부분. → 꽃봉오리 돼지를 가두어 기르는 곳. (비유적으로) 아주 더러운 곳. 나뭇가지나 짚 등을 엮어 만든 닭의 집. 새가 알을 낳거나 살기 위해 풀, 나뭇가지 등을 엮어 만든 둥근 모양의 집.",명사,11
아니다,,아니다,not,어떤 사실이나 내용을 부정하는 뜻을 나타내는 말. 물음이나 짐작의 뜻을 나타내면서 어떤 사실이나 내용을 강하게 긍정하는 뜻을 나타내는 말.,형용사,13
같다,,,same; identical; equal; similar; like; such as; like; if; in case; just like; exactly the same; equivalent to; just alike; identical; same; constant; steadfast; invariable; uniform; even; consistent; -n geot gatda; -l geot gatda; seamless; as good as new; perfectly repaired; eager; anxious; like a demon; precious; -neun geot gatda,"서로 다르지 않다. 서로 비슷하다. 무엇과 비슷한 종류에 속해 있음을 나타내는 말. '어떤 상황이나 조건이라면'의 뜻을 나타내는 말. '기준에 알맞은'의 뜻을 나타내는 말. '마음이나 생각, 형편에 따르자면'의 뜻으로, 실제로는 그렇지 못함을 나타내는 말. (욕하는 말로) 앞말과 다르지 않음을 나타내는 말. 미루어 생각되는 점이 있다. 사물의 모양, 분량, 성질 등이 서로 조금도 다른 데가 없다. 사람의 외모, 태도, 행동 등이 닮아 아주 비슷하다. 새롭거나 특별한 것이 전혀 없다. 처음부터 끝까지 변함없이 똑같다. 여럿이 모두 똑같아서 마치 하나와 같다. 추측을 나타내는 표현. 남이 알 수 없을 정도로 꾸미거나 고친 흔적이 없다. 무엇을 바라는 마음이 몹시 간절하다. 동작이나 추측이 매우 정확하고 재주가 놀라울 정도로 뛰어나다. 아주 귀하고 소중하다.",,14
