word,hanja,pronunciation,english_translations,korean_definitions,frequency
시인,是認,시ː인,admission; acknowledgement; admit; acknowledge,어떤 내용이나 사실이 맞거나 그러하다고 인정함.; 어떤 내용이나 사실이 맞거나 그러하다고 인정하다.,10
시인,詩人,시인,poet,전문적으로 시를 짓는 사람.,10
